id,review_text,date,rating,expected_sentiment,expected_category,expected_priority
27,Why did you move the keyboard shortcuts button? It was fine before.,2025-11-27,1,Negative,UX / Design,Medium
28,Constant crashes when using voice input. Very frustrating.,2025-04-02,2,Negative,Bug / Crash,Critical
29,It works. Not much else to say.,2025-03-02,3,Neutral,Praise,Low
30,Could you consider adding offline mode? Just a suggestion.,2025-06-08,3,Neutral,Feature Request,Low
31,Constant crashes when using widgets. Very frustrating.,2025-07-19,1,Negative,Bug / Crash,Critical
32,"Works as advertised. No complaints, no excitement.",2026-09-18,2,Neutral,Praise,Low
33,The welcome screen has too much text and no visuals. Overwhelming.,2025-02-09,1,Negative,Onboarding,Medium
34,It does the basics. calendar integration would be a nice addition.,2025-10-03,4,Neutral,Feature Request,Low
35,Would love to see Apple Watch support in a future update. Otherwise fantastic.,2026-01-23,5,Positive,Feature Request,Low
36,It does the basics. widgets would be a nice addition.,2025-02-22,3,Neutral,Feature Request,Low
37,Too many taps to do a simple share. Needs to be simpler.,2025-09-06,1,Negative,UX / Design,Medium
38,Colors are ugly and the layout makes no sense.,2025-11-07,1,Negative,UX / Design,Medium
39,Really enjoy using this. custom themes would be the cherry on top.,2025-08-14,4,Positive,Feature Request,Low
40,"Every time I try to sync, the app just dies. So annoying.",2025-04-15,2,Negative,Bug / Crash,Critical
41,Would be nice to have collaboration. Not a dealbreaker though.,2025-07-03,3,Neutral,Feature Request,Low
42,Decent app. Does what it says.,2026-07-04,2,Neutral,Praise,Low
43,Super intuitive. Figured everything out in 15 minutes.,2025-04-25,5,Positive,Praise,Low
44,Would be nice to have Apple Watch support. Not a dealbreaker though.,2026-11-17,4,Neutral,Feature Request,Low
45,I cancelled but was still charged. Want my money back.,2025-04-20,1,Negative,Pricing / Billing,High
46,I keep accidentally tapping the wrong button because they're too close together.,2026-03-20,1,Negative,UX / Design,Medium
47,This app is a game changer. So much better than competing products.,2025-06-25,5,Positive,Praise,Low
48,Why did you move the calendar integration button? It was fine before.,2025-08-12,1,Negative,UX / Design,Medium
49,The onboarding tutorial is useless. Doesn't explain anything.,2025-03-25,3,Negative,Onboarding,Medium
50,Great work! Any plans to add two-factor auth? That would be awesome.,2025-09-28,3,Positive,Feature Request,Low
51,I cancelled but was still charged. Want my money back.,2025-05-16,3,Negative,Pricing / Billing,High
52,Recommended this to all my friends. Everyone loves it.,2026-07-21,5,Positive,Praise,Low
53,This is what every app should aspire to be. Perfect.,2025-03-27,5,Positive,Praise,Low
54,Outstanding quality. You can tell the developers care about their users.,2025-10-27,5,Positive,Praise,Low
55,This is what every app should aspire to be. Perfect.,2026-02-04,5,Positive,Praise,Low
56,Would be nice to have multi-account. Not a dealbreaker though.,2025-02-14,3,Neutral,Feature Request,Low
57,I was charged twice this month. No response from support.,2026-02-01,1,Negative,Pricing / Billing,High
58,The welcome screen has too much text and no visuals. Overwhelming.,2026-06-04,1,Negative,Onboarding,Medium
59,The app is incredibly laggy since the last update.,2026-12-27,3,Negative,Performance,High
60,Meh. It's fine for what it is.,2025-07-20,4,Neutral,Praise,Low
61,First review on the App Store. Seems fine so far.,2025-12-20,4,Neutral,Praise,Low
62,Love the attention to detail in this app. Everything just works.,2025-07-09,5,Positive,Praise,Low
63,This is what every app should aspire to be. Perfect.,2025-01-11,5,Positive,Praise,Low
64,The best $15 I spend every month. Worth every penny.,2025-03-11,5,Positive,Praise,Low
65,Love the attention to detail in this app. Everything just works.,2025-01-05,5,Positive,Praise,Low
66,Just downloaded it. Will update my review later.,2026-08-21,3,Neutral,Praise,Low
67,I still don't understand what half the features do after a week.,2025-02-26,2,Negative,Onboarding,Medium
68,I've tried 48 other apps and this is by far the best one.,2026-07-01,5,Positive,Praise,Low
69,"Clean, intuitive, and fast. Exactly what an app should be.",2025-03-04,4,Positive,Praise,Low
70,First review on the App Store. Seems fine so far.,2026-07-07,3,Neutral,Praise,Low
71,It does the basics. calendar integration would be a nice addition.,2026-12-09,2,Neutral,Feature Request,Low
72,Meh. It's fine for what it is.,2025-02-24,3,Neutral,Praise,Low
73,First review on the App Store. Seems fine so far.,2025-04-28,3,Neutral,Praise,Low
74,Dark mode is broken — some text is invisible on dark backgrounds.,2026-08-13,1,Negative,UX / Design,High
75,Just downloaded it. Will update my review later.,2025-11-26,3,Neutral,Praise,Low
76,Great work! Any plans to add custom themes? That would be awesome.,2025-02-22,5,Positive,Feature Request,Low
77,"Average app. Not bad, not great.",2025-02-12,3,Neutral,Praise,Low
78,Decent app. Does what it says.,2025-03-01,4,Neutral,Praise,Low
79,Why is the sign-up process so complicated? Just let me use the app.,2025-12-19,3,Negative,Onboarding,Medium
80,Why did you move the collaboration button? It was fine before.,2025-08-20,2,Negative,UX / Design,Medium
81,Too expensive for what it does. alternatives does the same for free.,2025-12-25,1,Negative,Pricing / Billing,Medium
82,Been using this for 15 months and it just keeps getting better.,2026-08-11,5,Positive,Praise,Low
83,Screen goes black whenever I sync. Bug has been there for weeks.,2026-06-06,1,Negative,Bug / Crash,Critical
84,"Average app. Not bad, not great.",2025-01-04,2,Neutral,Praise,Low
85,Great work! Any plans to add PDF export? That would be awesome.,2025-02-07,4,Positive,Feature Request,Low
86,Standard organization app. Nothing stands out.,2025-05-28,3,Neutral,Praise,Low
87,First review on the App Store. Seems fine so far.,2025-07-27,3,Neutral,Praise,Low
88,This is what every app should aspire to be. Perfect.,2026-11-12,5,Positive,Praise,Low
89,It works. Not much else to say.,2025-07-02,3,Neutral,Praise,Low
90,Recommended this to all my friends. Everyone loves it.,2025-06-06,5,Positive,Praise,Low
91,The welcome screen has too much text and no visuals. Overwhelming.,2025-09-02,3,Negative,Onboarding,Medium
92,It takes forever to update profile. Other apps do this instantly.,2025-03-23,1,Negative,Performance,High
93,Took me 8 minutes just to figure out how to get started.,2025-04-14,1,Negative,Onboarding,Medium
94,Constant crashes when using voice input. Very frustrating.,2026-05-02,3,Negative,Bug / Crash,Critical
95,"Works as advertised. No complaints, no excitement.",2025-02-06,3,Neutral,Praise,Low
96,"Best app I've used in years. Simple, fast, and reliable.",2025-01-04,5,Positive,Praise,Low
97,Took me 30 minutes just to figure out how to get started.,2025-08-23,1,Negative,Onboarding,Medium
98,Been using this for 18 months and it just keeps getting better.,2026-03-06,4,Positive,Praise,Low
99,Really enjoy using this. offline mode would be the cherry on top.,2026-11-11,5,Positive,Feature Request,Low
100,Love the attention to detail in this app. Everything just works.,2026-06-16,5,Positive,Praise,Low
101,The free tier is useless. You basically force people to pay.,2025-01-14,3,Negative,Pricing / Billing,Medium
102,Absolutely love this app! It does exactly what I need.,2026-08-01,5,Positive,Praise,Low
103,"Works as advertised. No complaints, no excitement.",2026-05-08,3,Neutral,Praise,Low
104,The navigation is so confusing. I can never find templates.,2025-02-28,2,Negative,UX / Design,Medium
105,"Average app. Not bad, not great.",2026-07-06,2,Neutral,Praise,Low
106,"Works as advertised. No complaints, no excitement.",2026-12-16,4,Neutral,Praise,Low
107,The free tier is useless. You basically force people to pay.,2025-09-01,3,Negative,Pricing / Billing,Medium
108,Took me 35 minutes just to figure out how to get started.,2026-12-11,2,Negative,Onboarding,Medium
109,Really enjoy using this. custom themes would be the cherry on top.,2025-04-28,5,Positive,Feature Request,Low
110,Five stars! The team behind this app really cares.,2025-01-23,3,Positive,Praise,Low
111,The new design is terrible. Everything looks the same.,2025-01-23,3,Negative,UX / Design,Medium
112,"Love it, but please add Apple Watch support. That would make it perfect.",2025-02-16,5,Positive,Feature Request,Medium
113,Meh. It's fine for what it is.,2026-10-23,4,Neutral,Praise,Low
114,App froze and I lost 30 minutes of work. Not cool.,2025-05-22,2,Negative,Bug / Crash,Critical
115,Great work! Any plans to add keyboard shortcuts? That would be awesome.,2025-07-22,5,Positive,Feature Request,Low
116,Super intuitive. Figured everything out in 53 minutes.,2026-09-07,4,Positive,Praise,Low
117,Way overpriced compared to alternatives. Not worth it.,2026-11-28,1,Negative,Pricing / Billing,Medium
118,Had to watch YouTube videos just to learn basic delete.,2025-07-12,1,Negative,Onboarding,Medium
119,I cancelled but was still charged. Want my money back.,2025-12-07,1,Negative,Pricing / Billing,High
120,Decent app. Does what it says.,2026-06-11,3,Neutral,Praise,Low
121,$5/month for this? Are you kidding me?,2025-06-19,1,Negative,Pricing / Billing,High
122,Love the attention to detail in this app. Everything just works.,2025-01-28,4,Positive,Praise,Low
123,Constant crashes when using keyboard shortcuts. Very frustrating.,2025-04-05,2,Negative,Bug / Crash,Critical
124,App crashes on startup since the last update. Can't even open it.,2025-12-03,2,Negative,Bug / Crash,Critical
125,Dark mode is broken — some text is invisible on dark backgrounds.,2025-08-25,1,Negative,UX / Design,High
126,I still don't understand what half the features do after a week.,2025-05-07,2,Negative,Onboarding,Medium
127,Standard productivity app. Nothing stands out.,2026-01-24,3,Neutral,Praise,Low
128,"Clean, intuitive, and fast. Exactly what an app should be.",2026-04-19,5,Positive,Praise,Low
129,Decent app. Does what it says.,2026-10-02,4,Neutral,Praise,Low
130,Five stars! The team behind this app really cares.,2025-12-15,5,Positive,Praise,Low
131,Standard note-taking app. Nothing stands out.,2025-10-02,3,Neutral,Praise,Low
132,Solid app. The only thing missing is the ability to upload.,2025-07-19,4,Positive,Feature Request,Medium
133,Outstanding quality. You can tell the developers care about their users.,2025-06-15,5,Positive,Praise,Low
134,It does the basics. widgets would be a nice addition.,2025-12-18,3,Neutral,Feature Request,Low
135,App froze and I lost 26 minutes of work. Not cool.,2026-05-25,3,Negative,Bug / Crash,Critical
136,"Best app I've used in years. Simple, fast, and reliable.",2025-01-19,5,Positive,Praise,Low
137,Amazing app! It makes sync so much easier.,2025-12-01,5,Positive,Praise,Low
138,Meh. It's fine for what it is.,2025-08-11,3,Neutral,Praise,Low
139,I've tried 34 other apps and this is by far the best one.,2025-06-06,4,Positive,Praise,Low
140,"Best app I've used in years. Simple, fast, and reliable.",2025-05-01,5,Positive,Praise,Low
141,First review on the App Store. Seems fine so far.,2025-06-09,2,Neutral,Praise,Low
142,$15/month for this? Are you kidding me?,2025-09-07,2,Negative,Pricing / Billing,High
143,Why did you move the custom themes button? It was fine before.,2025-12-21,1,Negative,UX / Design,Medium
144,Would be nice to have templates. Not a dealbreaker though.,2025-02-03,3,Neutral,Feature Request,Low
145,Would be nice to have calendar integration. Not a dealbreaker though.,2025-02-13,3,Neutral,Feature Request,Low
146,The new design is terrible. Everything looks the same.,2025-02-01,1,Negative,UX / Design,Medium
147,The premium features are not worth the $8/month price tag.,2025-10-24,1,Negative,Pricing / Billing,High
148,Great work! Any plans to add PDF export? That would be awesome.,2025-05-09,4,Positive,Feature Request,Low
149,The best $8 I spend every month. Worth every penny.,2025-09-01,5,Positive,Praise,Low
150,Recommended this to all my friends. Everyone loves it.,2025-08-26,5,Positive,Praise,Low
151,First-time experience is awful. No guidance whatsoever.,2025-05-04,2,Negative,Onboarding,Medium
152,Just downloaded it. Will update my review later.,2026-06-27,3,Neutral,Praise,Low
153,This app has changed how I open settings. Couldn't live without it.,2025-08-14,5,Positive,Praise,Low
154,Everything runs so slow. Even scrolling is choppy.,2025-02-04,2,Negative,Performance,High
155,The new design is terrible. Everything looks the same.,2026-02-08,1,Negative,UX / Design,Medium
156,It takes forever to sync. Other apps do this instantly.,2026-09-24,2,Negative,Performance,High
157,Recommended this to all my friends. Everyone loves it.,2025-07-26,5,Positive,Praise,Low
158,Recommended this to all my friends. Everyone loves it.,2025-08-22,3,Positive,Praise,Low
159,It's OK I guess. Nothing special but it works.,2025-01-12,2,Neutral,Praise,Low
160,Crash after crash after crash. When will you fix this?,2025-04-16,2,Negative,Bug / Crash,Critical
161,Almost perfect. Just needs templates and it's a 5-star app.,2025-05-07,5,Positive,Feature Request,Medium
162,Meh. It's fine for what it is.,2025-04-14,2,Neutral,Praise,Low
163,Syncing is extremely slow. Takes 50 minutes for a simple update.,2026-04-07,2,Negative,Performance,Medium
164,Crash after crash after crash. When will you fix this?,2026-08-11,3,Negative,Bug / Crash,Critical
165,It does the basics. Apple Watch support would be a nice addition.,2025-04-18,4,Neutral,Feature Request,Low
166,Five stars! The team behind this app really cares.,2026-03-15,4,Positive,Praise,Low
167,It's OK I guess. Nothing special but it works.,2025-08-01,2,Neutral,Praise,Low
168,Why is the sign-up process so complicated? Just let me use the app.,2025-04-16,1,Negative,Onboarding,Medium
169,Been using this for 13 months and it just keeps getting better.,2025-06-15,5,Positive,Praise,Low
170,Meh. It's fine for what it is.,2026-08-14,3,Neutral,Praise,Low
171,"Average app. Not bad, not great.",2025-07-11,3,Neutral,Praise,Low
172,The setup process has way too many steps. Almost gave up.,2025-12-12,2,Negative,Onboarding,Medium
173,First review on the App Store. Seems fine so far.,2025-05-06,3,Neutral,Praise,Low
174,It does the basics. voice input would be a nice addition.,2026-07-09,2,Neutral,Feature Request,Low
175,The app works but I wonder if collaboration is on the roadmap.,2026-12-16,3,Neutral,Feature Request,Low
176,"Clean, intuitive, and fast. Exactly what an app should be.",2026-08-01,5,Positive,Praise,Low
177,The menu structure is a maze. Just let me check notifications directly.,2025-03-07,3,Negative,UX / Design,Medium
178,This is what every app should aspire to be. Perfect.,2025-08-08,4,Positive,Praise,Low
179,Absolutely love this app! It does exactly what I need.,2025-09-08,4,Positive,Praise,Low
180,The best $25 I spend every month. Worth every penny.,2025-05-20,5,Positive,Praise,Low
181,Screen goes black whenever I edit. Bug has been there for weeks.,2025-02-14,1,Negative,Bug / Crash,Critical
182,App froze and I lost 19 minutes of work. Not cool.,2025-01-21,3,Negative,Bug / Crash,Critical
183,Loading times are ridiculous. I don't have time for this.,2026-08-10,1,Negative,Performance,High
184,Absolutely love this app! It does exactly what I need.,2025-09-24,5,Positive,Praise,Low
185,The fonts are way too small. Can barely read anything.,2025-03-04,1,Negative,UX / Design,High
186,The app works but I wonder if voice input is on the roadmap.,2025-06-06,3,Neutral,Feature Request,Low
187,I've tried 8 other apps and this is by far the best one.,2025-04-25,4,Positive,Praise,Low
188,The search takes 12 seconds to return results. Painfully slow.,2026-10-06,2,Negative,Performance,Medium
189,Recommended this to all my friends. Everyone loves it.,2025-06-18,5,Positive,Praise,Low
190,The premium features are not worth the $30/month price tag.,2026-03-14,1,Negative,Pricing / Billing,High
191,Takes 53 seconds to load anything. Way too slow.,2025-05-08,1,Negative,Performance,High
192,"Best app I've used in years. Simple, fast, and reliable.",2026-11-19,5,Positive,Praise,Low
193,"Works as advertised. No complaints, no excitement.",2026-05-16,2,Neutral,Praise,Low
194,Super intuitive. Figured everything out in 3 minutes.,2025-04-13,5,Positive,Praise,Low
195,Great work! Any plans to add Apple Watch support? That would be awesome.,2025-05-26,3,Positive,Feature Request,Low
196,I've been using the app for 59 days and still feel lost.,2026-12-20,1,Negative,Onboarding,Medium
197,This is what every app should aspire to be. Perfect.,2025-04-13,5,Positive,Praise,Low
198,Could you consider adding Apple Watch support? Just a suggestion.,2025-01-17,2,Neutral,Feature Request,Low
199,App crashes on startup since the last update. Can't even open it.,2025-05-11,1,Negative,Bug / Crash,Critical
200,Amazing app! It makes open settings so much easier.,2025-08-05,5,Positive,Praise,Low
201,Almost perfect. Just needs calendar integration and it's a 5-star app.,2026-04-25,5,Positive,Feature Request,Medium
202,Almost perfect. Just needs PDF export and it's a 5-star app.,2025-09-10,5,Positive,Feature Request,Medium
203,Recommended this to all my friends. Everyone loves it.,2026-02-24,5,Positive,Praise,Low
204,Constant crashes when using widgets. Very frustrating.,2025-01-09,1,Negative,Bug / Crash,Critical
205,"Average app. Not bad, not great.",2025-01-15,3,Neutral,Praise,Low
206,Would love to see voice input in a future update. Otherwise fantastic.,2026-04-27,5,Positive,Feature Request,Low
207,Decent app. Does what it says.,2026-09-02,2,Neutral,Praise,Low
208,Really enjoy using this. two-factor auth would be the cherry on top.,2025-05-20,3,Positive,Feature Request,Low
209,It's OK I guess. Nothing special but it works.,2025-12-04,3,Neutral,Praise,Low
210,"Best app I've used in years. Simple, fast, and reliable.",2025-06-04,5,Positive,Praise,Low
211,Too many taps to do a simple view history. Needs to be simpler.,2025-07-26,3,Negative,UX / Design,Medium
212,Almost perfect. Just needs voice input and it's a 5-star app.,2025-09-14,5,Positive,Feature Request,Medium
213,The app works but I wonder if widgets is on the roadmap.,2025-10-10,3,Neutral,Feature Request,Low
214,Almost perfect. Just needs PDF export and it's a 5-star app.,2026-05-02,4,Positive,Feature Request,Medium
215,This app has changed how I view history. Couldn't live without it.,2026-04-16,4,Positive,Praise,Low
216,Can't figure out how to delete. The UI is not intuitive at all.,2026-09-17,1,Negative,UX / Design,High
217,I've tried 28 other apps and this is by far the best one.,2025-08-01,4,Positive,Praise,Low
218,"Average app. Not bad, not great.",2025-02-07,3,Neutral,Praise,Low
219,Super intuitive. Figured everything out in 7 minutes.,2025-08-01,5,Positive,Praise,Low
220,It works. Not much else to say.,2025-03-15,3,Neutral,Praise,Low
221,The app is amazing. My only wish is keyboard shortcuts integration.,2025-03-22,3,Positive,Feature Request,Low
222,This app has changed how I update profile. Couldn't live without it.,2025-08-01,5,Positive,Praise,Low
223,"No tutorial, no guide, nothing. Just dropped into the app blind.",2025-08-13,1,Negative,Onboarding,Medium
224,Five stars! The team behind this app really cares.,2025-07-03,5,Positive,Praise,Low
225,The search takes 48 seconds to return results. Painfully slow.,2026-01-25,1,Negative,Performance,Medium
226,Crash after crash after crash. When will you fix this?,2025-01-18,3,Negative,Bug / Crash,Critical
227,This is what every app should aspire to be. Perfect.,2025-03-04,5,Positive,Praise,Low
228,I was charged twice this month. No response from support.,2025-09-19,1,Negative,Pricing / Billing,High
229,Memory usage is insane. My phone heats up every time I use this.,2025-08-06,3,Negative,Performance,High
230,The cloud backup feature crashes immediately. Please fix this.,2025-06-06,2,Negative,Bug / Crash,High
231,It's OK I guess. Nothing special but it works.,2026-01-26,2,Neutral,Praise,Low
232,Keeps freezing when I save. Had to force quit 41 times today.,2025-08-20,2,Negative,Bug / Crash,High
233,This is what every app should aspire to be. Perfect.,2026-04-27,5,Positive,Praise,Low
234,Why did you move the two-factor auth button? It was fine before.,2025-02-11,1,Negative,UX / Design,Medium
235,Way overpriced compared to the competition. Not worth it.,2025-11-03,2,Negative,Pricing / Billing,Medium
236,The two-factor auth feature crashes immediately. Please fix this.,2025-08-22,1,Negative,Bug / Crash,High
237,Could you consider adding voice input? Just a suggestion.,2025-10-01,4,Neutral,Feature Request,Low
238,It does the basics. calendar integration would be a nice addition.,2026-10-06,2,Neutral,Feature Request,Low
239,"Average app. Not bad, not great.",2025-07-16,3,Neutral,Praise,Low
240,The best $8 I spend every month. Worth every penny.,2025-02-09,4,Positive,Praise,Low
241,App uses too much battery. Drains 32% in an hour.,2026-12-27,2,Negative,Performance,Medium
242,It takes forever to save. Other apps do this instantly.,2025-05-26,2,Negative,Performance,High
243,The menu structure is a maze. Just let me check notifications directly.,2025-07-26,3,Negative,UX / Design,Medium
244,The navigation is so confusing. I can never find PDF export.,2026-01-05,2,Negative,UX / Design,Medium
245,The premium features are not worth the $5/month price tag.,2026-08-16,1,Negative,Pricing / Billing,High
246,Takes 44 seconds to load anything. Way too slow.,2025-07-17,3,Negative,Performance,High
247,Five stars! The team behind this app really cares.,2025-09-24,5,Positive,Praise,Low
248,Super intuitive. Figured everything out in 24 minutes.,2025-09-01,5,Positive,Praise,Low
249,Takes 30 seconds to load anything. Way too slow.,2025-08-24,3,Negative,Performance,High
250,"No tutorial, no guide, nothing. Just dropped into the app blind.",2025-06-01,2,Negative,Onboarding,Medium
251,Screen goes black whenever I view history. Bug has been there for weeks.,2025-07-14,2,Negative,Bug / Crash,Critical
252,It's OK I guess. Nothing special but it works.,2025-01-09,3,Neutral,Praise,Low
253,Could you consider adding offline mode? Just a suggestion.,2026-09-18,2,Neutral,Feature Request,Low
254,Standard productivity app. Nothing stands out.,2025-06-12,3,Neutral,Praise,Low
255,Been using this for 30 months and it just keeps getting better.,2025-07-09,3,Positive,Praise,Low
256,"Average app. Not bad, not great.",2026-07-06,4,Neutral,Praise,Low
257,Dark mode is broken — some text is invisible on dark backgrounds.,2026-02-11,3,Negative,UX / Design,High
258,Almost perfect. Just needs widgets and it's a 5-star app.,2025-05-02,3,Positive,Feature Request,Medium
259,It works. Not much else to say.,2025-10-20,3,Neutral,Praise,Low
260,Really enjoy using this. PDF export would be the cherry on top.,2025-12-22,5,Positive,Feature Request,Low
261,Standard task management app. Nothing stands out.,2025-12-12,2,Neutral,Praise,Low
262,The app takes 24 seconds just to start up. Way too heavy.,2026-10-10,1,Negative,Performance,High
263,Recommended this to all my friends. Everyone loves it.,2025-07-01,5,Positive,Praise,Low
264,Outstanding quality. You can tell the developers care about their users.,2025-05-02,4,Positive,Praise,Low
265,Syncing is extremely slow. Takes 51 minutes for a simple update.,2026-01-24,1,Negative,Performance,Medium
266,Been using this for 49 months and it just keeps getting better.,2025-09-03,4,Positive,Praise,Low
267,The onboarding tutorial is useless. Doesn't explain anything.,2026-01-12,1,Negative,Onboarding,Medium
268,The search takes 29 seconds to return results. Painfully slow.,2025-01-12,3,Negative,Performance,Medium
269,The app is incredibly laggy since the last update.,2025-06-18,2,Negative,Performance,High
270,This app has changed how I view history. Couldn't live without it.,2025-12-27,5,Positive,Praise,Low
271,Amazing app! It makes export so much easier.,2026-02-03,4,Positive,Praise,Low
272,First review on the App Store. Seems fine so far.,2025-10-24,3,Neutral,Praise,Low
273,Super intuitive. Figured everything out in 52 minutes.,2025-12-06,4,Positive,Praise,Low
274,Lost all my projects because the app crashed mid-update profile. Unacceptable.,2025-09-19,1,Negative,Bug / Crash,Critical
275,Solid app. The only thing missing is the ability to upload.,2025-08-03,5,Positive,Feature Request,Medium
276,Great work! Any plans to add keyboard shortcuts? That would be awesome.,2026-10-18,5,Positive,Feature Request,Low
277,Love the attention to detail in this app. Everything just works.,2025-06-21,5,Positive,Praise,Low
278,Standard organization app. Nothing stands out.,2025-10-26,3,Neutral,Praise,Low
279,Constant crashes when using dark mode. Very frustrating.,2025-09-21,1,Negative,Bug / Crash,Critical
280,Just downloaded it. Will update my review later.,2025-03-09,3,Neutral,Praise,Low
281,The best $20 I spend every month. Worth every penny.,2026-12-03,3,Positive,Praise,Low
282,Hidden fees everywhere. This is not transparent pricing.,2025-05-05,2,Negative,Pricing / Billing,High
283,"Best app I've used in years. Simple, fast, and reliable.",2025-10-03,5,Positive,Praise,Low
284,It works. Not much else to say.,2025-02-06,2,Neutral,Praise,Low
285,The app is amazing. My only wish is calendar integration integration.,2026-07-19,5,Positive,Feature Request,Low
286,The app is incredibly laggy since the last update.,2025-06-10,1,Negative,Performance,High
287,Automatic renewal without warning. Shady business practice.,2025-05-20,1,Negative,Pricing / Billing,High
288,I still don't understand what half the features do after a week.,2026-12-14,1,Negative,Onboarding,Medium
289,It's a organization app. It does organization things.,2026-04-10,3,Neutral,Praise,Low
290,Recommended this to all my friends. Everyone loves it.,2026-03-22,5,Positive,Praise,Low
291,The app is amazing. My only wish is two-factor auth integration.,2026-02-20,5,Positive,Feature Request,Low
292,Would love to see custom themes in a future update. Otherwise fantastic.,2025-02-03,5,Positive,Feature Request,Low
293,"Works as advertised. No complaints, no excitement.",2025-06-24,3,Neutral,Praise,Low
294,First review on the App Store. Seems fine so far.,2025-11-05,3,Neutral,Praise,Low
295,App crashes every time I try to export. Completely unusable.,2025-03-13,1,Negative,Bug / Crash,Critical
296,Price went up from $5 to $20 with no new features.,2025-07-06,1,Negative,Pricing / Billing,High
297,The app is amazing. My only wish is calendar integration integration.,2025-06-14,5,Positive,Feature Request,Low
298,"Best app I've used in years. Simple, fast, and reliable.",2025-04-19,5,Positive,Praise,Low
299,Amazing app! It makes search so much easier.,2026-09-11,4,Positive,Praise,Low
300,"Average app. Not bad, not great.",2025-08-16,3,Neutral,Praise,Low
301,The fonts are way too small. Can barely read anything.,2025-10-21,3,Negative,UX / Design,High
302,Just downloaded it. Will update my review later.,2025-04-19,4,Neutral,Praise,Low
303,Love the attention to detail in this app. Everything just works.,2026-12-28,5,Positive,Praise,Low
304,Everything runs so slow. Even scrolling is choppy.,2025-04-21,1,Negative,Performance,High
305,Five stars! The team behind this app really cares.,2026-04-01,4,Positive,Praise,Low
306,It takes forever to check notifications. Other apps do this instantly.,2025-05-23,3,Negative,Performance,High
307,Great work! Any plans to add custom themes? That would be awesome.,2025-09-24,4,Positive,Feature Request,Low
308,"Best app I've used in years. Simple, fast, and reliable.",2026-03-24,3,Positive,Praise,Low
309,Recommended this to all my friends. Everyone loves it.,2025-11-08,3,Positive,Praise,Low
310,"Works as advertised. No complaints, no excitement.",2025-07-22,3,Neutral,Praise,Low
311,Great app! Would be even better with collaboration support.,2025-03-28,4,Positive,Feature Request,Medium
312,First-time experience is awful. No guidance whatsoever.,2026-01-06,1,Negative,Onboarding,Medium
313,First-time experience is awful. No guidance whatsoever.,2025-01-04,1,Negative,Onboarding,Medium
314,Really enjoy using this. Apple Watch support would be the cherry on top.,2025-03-25,5,Positive,Feature Request,Low
315,"Average app. Not bad, not great.",2026-04-27,3,Neutral,Praise,Low
316,Amazing app! It makes sign up so much easier.,2025-08-20,5,Positive,Praise,Low
317,It's OK I guess. Nothing special but it works.,2025-02-06,4,Neutral,Praise,Low
318,The menu structure is a maze. Just let me export directly.,2025-04-20,2,Negative,UX / Design,Medium
319,This is what every app should aspire to be. Perfect.,2026-02-03,4,Positive,Praise,Low
320,Just downloaded it. Will update my review later.,2025-07-12,3,Neutral,Praise,Low
